codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	174	197334	50	50	0	0	1	2372223	Athletic Club	Iñaki Williams	1	0	0	46.1	52.8	0
1	pase	174	76012	46.4	51.5	0	2	1	2372223	Athletic Club	Iker Muniain	1	0	0	42.8	36.3	0
1	pase	174	96736	43.3	34.6	0	4	1	2372223	Athletic Club	Íñigo Ruíz de Galarreta	1	0	0	44.5	7	0
1	pase	174	59062	44.5	7.3	0	6	1	2372223	Athletic Club	Óscar De Marcos	1	0	0	27.8	54	0
1	pase	174	440593	27.8	54	0	9	1	2372223	Athletic Club	Aitor Paredes	1	0	0	36.9	81.8	0
1	pase	174	197314	36.9	82	0	11	1	2372223	Athletic Club	Íñigo Lekue	1	0	0	51.2	81.5	0
1	pase	174	76012	51.2	81.5	0	12	1	2372223	Athletic Club	Iker Muniain	1	0	0	43.4	70.6	0
1	pase	174	197326	43.4	70.6	0	14	1	2372223	Athletic Club	Mikel Vesga	1	0	0	72.5	7.7	0
45	regate_recibido	186	227166	14.8	89.6	0	21	1	2372223	Real Madrid	Fran García	0	0	0	0	0	0
3	regate_conseguido	174	523654	85.2	10.4	0	21	1	2372223	Athletic Club	Nico Williams	1	0	0	0	0	0
1	pase	174	523654	96.6	14.9	0	23	1	2372223	Athletic Club	Nico Williams	1	0	0	70.8	67	0
1	pase_fallado	174	197326	72.9	72.3	0	29	1	2372223	Athletic Club	Mikel Vesga	0	0	0	91.7	37.1	0
61	toco_balon	186	227166	7.5	62.9	0	31	1	2372223	Real Madrid	Fran García	0	0	0	0	0	0
6	corner	186	227166	7.8	62.8	0	33	1	2372223	Real Madrid	Fran García	0	0	0	0	0	0
6	corner	174	197326	92.2	37.2	0	33	1	2372223	Athletic Club	Mikel Vesga	1	0	0	0	0	0
1	pase_fallado	174	76012	99.5	0.5	1	0	1	2372223	Athletic Club	Iker Muniain	0	0	0	91.6	52.1	0
41	despeje_punos	186	224965	6.8	49.7	1	2	1	2372223	Real Madrid	Andriy Lunin	1	0	0	19.2	63.3	0
49	recuperacion_balon	186	246333	22.9	64.1	1	4	1	2372223	Real Madrid	Vinícius Júnior	1	0	0	0	0	0
1	pase	186	246333	18.7	62	1	6	1	2372223	Real Madrid	Vinícius Júnior	1	0	0	14.9	60.9	0
1	pase_fallado	186	88483	14.9	60.9	1	6	1	2372223	Real Madrid	Dani Carvajal	0	0	0	58.7	95.4	0
61	toco_balon	174	437554	40.4	7.1	1	12	1	2372223	Athletic Club	Dani Vivian	0	0	0	0	0	0
5	balon_fuera	186	88483	60.8	100	1	13	1	2372223	Real Madrid	Dani Carvajal	1	0	347	0	0	0
5	balon_fuera	174	437554	39.2	0	1	13	1	2372223	Athletic Club	Dani Vivian	0	0	347	0	0	0
1	pase	186	227166	59.3	100	1	19	1	2372223	Real Madrid	Fran García	1	0	0	53.3	93.9	0
1	pase	186	246333	53.2	93.9	1	23	1	2372223	Real Madrid	Vinícius Júnior	1	0	0	42.8	96.2	0
1	pase	186	475561	42.8	91.8	1	25	1	2372223	Real Madrid	Eduardo Camavinga	1	0	0	31.9	42.8	0
1	pase	186	218449	32.1	34.5	1	30	1	2372223	Real Madrid	Éder Militão	1	0	0	41.7	33.9	0
1	pase	186	219292	40.8	30.9	1	32	1	2372223	Real Madrid	Aurélien Tchouaméni	1	0	0	45.1	2	0
4	falta_recibida	186	88483	35.8	6.5	1	36	1	2372223	Real Madrid	Dani Carvajal	1	0	152	0	0	265
4	falta_cometida	174	76012	64.2	93.5	1	36	1	2372223	Athletic Club	Iker Muniain	0	0	152	0	0	265
1	pase	186	88483	40	3.2	1	51	1	2372223	Real Madrid	Dani Carvajal	1	0	0	33.2	42.8	0
1	pase	186	219292	32.9	45.2	1	54	1	2372223	Real Madrid	Aurélien Tchouaméni	1	0	0	34.4	95	0
1	pase	186	227166	34.4	95	1	56	1	2372223	Real Madrid	Fran García	1	0	0	39.4	75.9	0
1	pase	186	244855	39.4	75.9	1	58	1	2372223	Real Madrid	Jude Bellingham	1	0	0	23.9	75.3	0
1	pase	186	50188	22.8	76.9	2	1	1	2372223	Real Madrid	David Alaba	1	0	0	29.8	74.8	0
1	pase	186	244855	28.1	72.1	2	3	1	2372223	Real Madrid	Jude Bellingham	1	0	0	25.1	35.1	0
1	pase	186	218449	23.7	40.4	2	6	1	2372223	Real Madrid	Éder Militão	1	0	0	28.3	63.7	0
1	pase	186	244855	28.3	63.7	2	7	1	2372223	Real Madrid	Jude Bellingham	1	0	0	18.2	89.9	0
1	pase	186	50188	22.9	88.2	2	9	1	2372223	Real Madrid	David Alaba	1	0	0	33.2	96.4	0
61	toco_balon	186	227166	30.9	98.1	2	10	1	2372223	Real Madrid	Fran García	0	0	0	0	0	0
49	recuperacion_balon	174	59062	54.1	12.6	2	12	1	2372223	Athletic Club	Óscar De Marcos	1	0	0	0	0	0
1	pase	174	59062	54.6	10.6	2	12	1	2372223	Athletic Club	Óscar De Marcos	1	0	0	67	10.2	0
1	pase	174	197334	67.8	12.6	2	13	1	2372223	Athletic Club	Iñaki Williams	1	0	0	65.4	5.2	0
3	regate_fallado	174	523654	71.7	6.4	2	16	1	2372223	Athletic Club	Nico Williams	0	0	0	0	0	0
7	entrada	186	244855	28.3	93.6	2	17	1	2372223	Real Madrid	Jude Bellingham	1	0	0	0	0	0
5	balon_fuera	174	523654	75.4	0	2	17	1	2372223	Athletic Club	Nico Williams	1	0	347	0	0	0
5	balon_fuera	186	244855	24.6	100	2	17	1	2372223	Real Madrid	Jude Bellingham	0	0	347	0	0	0
1	pase	174	59062	71.1	0	2	26	1	2372223	Athletic Club	Óscar De Marcos	1	0	0	67.6	10.6	0
1	pase	174	96736	65.8	14.3	2	26	1	2372223	Athletic Club	Íñigo Ruíz de Galarreta	1	0	0	68.1	4.4	0
1	pase	174	59062	70.7	5.8	2	28	1	2372223	Athletic Club	Óscar De Marcos	1	0	0	66.5	34	0
1	pase	174	76012	63.5	27.4	2	31	1	2372223	Athletic Club	Iker Muniain	1	0	0	76.2	3.4	0
1	pase	174	523654	74	4	2	36	1	2372223	Athletic Club	Nico Williams	1	0	0	71.2	13.4	0
1	pase_fallado	174	76012	71.2	13.4	2	36	1	2372223	Athletic Club	Iker Muniain	0	0	0	89.1	-1	0
5	balon_fuera	186	244855	11.9	100	2	39	1	2372223	Real Madrid	Jude Bellingham	1	0	347	0	0	0
5	balon_fuera	174	197326	88.1	0	2	39	1	2372223	Athletic Club	Mikel Vesga	0	0	347	0	0	0
1	pase	186	227166	14.3	100	2	47	1	2372223	Real Madrid	Fran García	1	0	0	7.5	90.9	0
1	pase	186	50188	5.6	84.5	2	49	1	2372223	Real Madrid	David Alaba	1	0	0	3.3	93.8	0
1	pase	186	227166	2.4	91.1	2	50	1	2372223	Real Madrid	Fran García	1	0	0	44.2	79.5	0
44	duelo_aereo	186	440077	43.8	80.7	2	52	1	2372223	Real Madrid	Rodrygo	1	0	0	0	0	0
44	duelo_aereo	174	440593	56.2	19.3	2	52	1	2372223	Athletic Club	Aitor Paredes	0	0	0	0	0	0
1	pase_fallado	186	440077	44.2	81	2	53	1	2372223	Real Madrid	Rodrygo	0	0	0	57.2	68	0
49	recuperacion_balon	174	197314	43	31.4	2	54	1	2372223	Athletic Club	Íñigo Lekue	1	0	0	0	0	0
1	pase	174	197314	41.6	68.4	2	59	1	2372223	Athletic Club	Íñigo Lekue	1	0	0	22.7	58.8	0
1	pase	174	212769	18.9	56.4	3	3	1	2372223	Athletic Club	Unai Simón	1	0	0	20.9	76.7	0
1	pase	174	440593	20.9	76.7	3	6	1	2372223	Athletic Club	Aitor Paredes	1	0	0	25.2	69.5	0
1	pase	174	197326	31.8	91.1	3	10	1	2372223	Athletic Club	Mikel Vesga	1	0	0	33.9	95.8	0
1	pase_fallado	174	197314	32.6	96.2	3	11	1	2372223	Athletic Club	Íñigo Lekue	0	0	0	37.6	87.8	0
49	recuperacion_balon	186	88483	67.9	12.6	3	12	1	2372223	Real Madrid	Dani Carvajal	1	0	0	0	0	0
1	pase	186	88483	70.2	17.4	3	14	1	2372223	Real Madrid	Dani Carvajal	1	0	0	65.2	36.9	0
1	pase_fallado	186	475561	66.5	39.8	3	16	1	2372223	Real Madrid	Eduardo Camavinga	0	0	0	66.6	42.1	0
74	bloqueo_pase	174	76012	28.1	44.5	3	17	1	2372223	Athletic Club	Iker Muniain	1	0	0	0	0	0
1	pase	174	59062	14.4	27.2	3	19	1	2372223	Athletic Club	Óscar De Marcos	1	0	0	28.2	13.3	0
49	recuperacion_balon	174	59062	14.4	27.2	3	19	1	2372223	Athletic Club	Óscar De Marcos	1	0	0	0	0	0
61	toco_balon	174	96736	33.2	11.8	3	23	1	2372223	Athletic Club	Íñigo Ruíz de Galarreta	0	0	0	0	0	0
49	recuperacion_balon	186	475561	68.7	89.3	3	25	1	2372223	Real Madrid	Eduardo Camavinga	1	0	0	0	0	0
1	pase_fallado	186	475561	66.4	88.7	3	25	1	2372223	Real Madrid	Eduardo Camavinga	0	0	0	64	77.5	0
49	recuperacion_balon	174	76012	37.7	22.5	3	27	1	2372223	Athletic Club	Iker Muniain	1	0	0	0	0	0
3	regate_fallado	174	76012	53.1	24.6	3	28	1	2372223	Athletic Club	Iker Muniain	0	0	0	0	0	0
7	entrada	186	88483	46.9	75.4	3	29	1	2372223	Real Madrid	Dani Carvajal	0	0	0	0	0	0
61	toco_balon	174	76012	57.9	21.3	3	29	1	2372223	Athletic Club	Iker Muniain	1	0	0	0	0	0
49	recuperacion_balon	186	88483	45	86.8	3	30	1	2372223	Real Madrid	Dani Carvajal	1	0	0	0	0	0
4	falta_cometida	174	76012	55.5	22	3	30	1	2372223	Athletic Club	Iker Muniain	0	0	241	0	0	0
17	tarjeta	174	76012	53.9	25.1	3	35	1	2372223	Athletic Club	Iker Muniain	1	0	0	0	0	0
1	pase	186	50188	35.6	74.4	4	4	1	2372223	Real Madrid	David Alaba	1	0	0	43.2	90.3	0
1	pase_fallado	186	475561	43.2	90.3	4	5	1	2372223	Real Madrid	Eduardo Camavinga	0	0	0	101.5	77.6	0
56	perdida_golpeo_rival	174	437554	3	24.2	4	10	1	2372223	Athletic Club	Dani Vivian	1	0	0	0	0	0
5	balon_fuera	186	475561	100	77.6	4	11	1	2372223	Real Madrid	Eduardo Camavinga	0	0	346	0	0	0
5	balon_fuera	174	76012	0	22.4	4	11	1	2372223	Athletic Club	Iker Muniain	1	0	346	0	0	0
1	pase	174	212769	3.4	45.5	4	16	1	2372223	Athletic Club	Unai Simón	1	0	0	14.2	69.5	0
1	pase	174	440593	12	65.1	4	17	1	2372223	Athletic Club	Aitor Paredes	1	0	0	22.4	87.2	0
1	pase	174	197314	23.1	88.2	4	19	1	2372223	Athletic Club	Íñigo Lekue	1	0	0	30.4	69.6	0
1	pase_fallado	174	197326	30.8	70.7	4	21	1	2372223	Athletic Club	Mikel Vesga	0	0	0	66.1	73.8	0
