match_id	id	team_id	period_id	min	sec	player_id_1	player_id_2	outcome	start_x	start_y	end_x	end_y	offside	possession	sequence	extra_1	extra_2	extra_3
2372225	2576688005	176	1	0	0	247412	40270	1	49.7	50	45.6	47	0	1	1	0	0	0
2372225	2576688015	176	1	0	0	40270	538283	1	45.6	47	35	53.6	0	1	1	0	0	0
2372225	2576688021	176	1	0	3	538283	234511	1	35.6	54.4	32.6	47.6	0	1	1	0	0	0
2372225	2576688039	176	1	0	3	234511	242830	1	32.6	47.6	26.9	66.6	0	1	1	0	0	0
2372225	2576688075	176	1	0	7	242830	210171	1	28.2	65	26.2	39.4	0	1	1	0	0	0
2372225	2576688103	176	1	0	9	210171	242313	1	27.2	36.6	29.8	11	0	1	1	0	0	0
2372225	2576688127	176	1	0	11	242313	210171	1	29.8	11	23.7	33	0	1	1	0	0	0
2372225	2576688157	176	1	0	13	210171	242830	1	23.5	34.8	24.7	70	0	1	1	0	0	0
2372225	2576688193	176	1	0	15	242830	184028	1	24.5	70.8	27.3	94	0	1	1	0	0	0
2372225	2576688225	176	1	0	17	184028	242830	1	27.2	93.4	18.1	73.8	0	1	1	0	0	0
2372225	2576688263	176	1	0	20	242830	210171	1	14.2	71.4	19.8	32.6	0	1	1	0	0	0
2372225	2576688285	176	1	0	23	210171	242313	1	22.8	27.8	23.7	13	0	1	1	0	0	0
2372225	2576688315	176	1	0	25	242313	234511	1	22	13.2	32.9	22.2	0	1	1	0	0	0
2372225	2576688337	176	1	0	27	234511	179369	1	29.8	9.4	35.3	4.8	0	1	1	0	0	0
2372225	2576688363	176	1	0	28	179369	538283	1	35.6	5.2	44.9	31.6	0	1	1	0	0	0
2372225	2576688397	176	1	0	30	538283	0	0	47.7	36.2	89.7	62.2	0	1	1	0	0	0
2372225	2576688623	450	1	0	47	138039	130026	1	14.5	43.9	68.4	16.5	0	2	2	0	0	0
2372225	2576688643	450	1	0	50	130026	0	0	68.4	16.5	73.4	40	0	2	2	0	3	0
2372225	2576688663	176	1	0	51	210171	0	0	28.2	52	54.3	42.2	0	3	3	0	0	0
2372225	2576688677	450	1	0	53	152723	0	0	47.5	56	47.1	43.1	0	4	4	0	0	0
2372225	2576688693	176	1	0	55	247412	0	0	54.7	55.2	59.8	38.4	0	0	0	0	3	0
2372225	2576688715	450	1	0	56	152723	0	1	40.1	60.3	35.1	43	0	4	5	0	3	0
2372225	2576688825	450	1	0	57	244273	0	0	35.9	43.1	70.2	101	0	4	5	0	0	0
2372225	2576688987	176	1	1	12	242313	0	0	33.6	0	56.5	7.2	0	5	6	0	0	0
2372225	2576689027	450	1	1	14	152723	484702	1	46.2	88.7	63.3	84.8	0	6	7	0	3	0
2372225	2576689047	450	1	1	15	484702	0	1	64.9	85	60.8	88	0	6	7	0	0	0
2372225	2576689065	450	1	1	16	109243	0	0	60.8	88	69.6	72.1	0	6	7	0	0	0
2372225	2576689067	176	1	1	18	210171	477463	100	30	27.8	40	30.6	0	7	8	0	0	0
2372225	2576689161	176	1	1	23	195883	210171	1	40.4	33	28.4	28	0	7	9	0	0	0
2372225	2576689213	176	1	1	25	210171	242830	1	27	35.2	28.2	69	0	7	9	0	0	0
2372225	2576689231	176	1	1	28	242830	184028	1	28.2	69	38.6	92.4	0	7	9	0	0	0
2372225	2576689319	176	1	1	30	184028	0	0	38.9	92.4	77.6	72.2	0	7	9	0	0	0
2372225	2576689355	176	1	1	35	195883	40270	1	72.7	81.4	75.5	88	0	7	10	0	0	0
2372225	2576689395	176	1	1	38	40270	195883	1	77	91.2	96.6	83.8	0	7	10	0	0	0
2372225	2576689405	176	1	1	41	195883	0	0	97.1	83.6	88.9	54.8	0	7	10	2	0	0
2372225	2576689865	176	1	2	5	538283	0	0	99.5	99.5	92.6	57.6	0	7	11	2	0	6
2372225	2576690313	450	1	2	31	138039	98851	1	13.6	52.4	24.9	75.4	0	8	13	0	0	5
2372225	2576690347	450	1	2	33	98851	484702	1	24.9	75.4	34	92.6	0	8	13	0	0	0
2372225	2576690413	450	1	2	36	484702	244273	1	33.8	91.2	31.3	41.3	0	8	13	0	0	0
2372225	2576690465	450	1	2	40	244273	126290	1	30.5	37.7	57.5	2	0	8	13	0	0	0
2372225	2576690575	450	1	2	44	126290	484702	1	73.2	4.4	88.3	95.4	0	8	13	2	0	0
2372225	2576690601	450	1	2	52	484702	152723	1	81.8	96.6	69	93.6	0	8	13	0	0	0
2372225	2576690665	450	1	2	53	152723	0	0	69	93.6	101.3	77.8	0	8	13	0	0	0
2372225	2576691159	176	1	3	19	234580	0	0	3.7	47.2	57.7	13.2	0	9	14	0	0	0
2372225	2576691295	450	1	3	27	109243	98851	1	39.1	80.9	28.4	85.1	0	10	15	0	0	0
2372225	2576691359	450	1	3	30	98851	138039	1	19.5	95.2	9.7	69.5	0	10	15	0	0	0
2372225	2576691401	450	1	3	32	138039	484702	1	7.3	65.5	28.5	71.2	0	10	15	0	0	0
2372225	2576691411	450	1	3	33	484702	109243	1	30.5	72	34.9	88	0	10	15	0	0	0
2372225	2576691525	450	1	3	38	109243	94273	1	54	94.4	68.4	72.9	0	10	15	0	0	0
2372225	2576691627	450	1	3	39	94273	152723	1	68.6	72.9	67.3	89.9	0	10	15	0	0	0
2372225	2576691777	450	1	3	45	477463	484702	1	62.5	67.9	54.6	70.8	0	12	17	0	0	0
2372225	2576691829	450	1	3	48	484702	244273	1	54.5	70.8	37.6	35.8	0	12	17	0	0	0
2372225	2576691851	450	1	3	53	244273	98851	1	37.6	35.8	37.4	70	0	12	17	0	0	0
2372225	2576691923	450	1	3	55	98851	477463	1	37.4	70	46.4	83.3	0	12	17	0	0	0
2372225	2576691951	450	1	3	58	477463	152723	1	60	91.8	75.5	97.2	0	12	17	0	0	0
2372225	2576691963	450	1	4	0	152723	0	0	75.5	97.2	79.2	93.9	0	12	17	0	0	0
2372225	2576692149	450	1	4	6	152723	477463	1	73.8	100	65.8	94.5	0	12	18	0	0	0
2372225	2576692185	450	1	4	8	477463	0	0	65.8	94.5	90.2	75.1	0	12	18	0	0	0
2372225	2576692287	450	1	4	13	109243	477463	1	87.6	91.4	76	80.8	0	12	19	0	0	0
2372225	2576692317	450	1	4	15	477463	94273	1	74.6	80.8	86.5	46.1	0	12	19	2	0	0
2372225	2576692973	176	1	4	45	234580	244273	100	11.7	62.2	58.9	72	0	13	20	0	0	5
2372225	2576693029	176	1	4	50	184028	538283	1	38.2	81.2	60.8	75.8	0	13	21	0	0	0
2372225	2576693057	176	1	4	51	538283	184028	1	60.8	75.8	56.8	67.6	0	13	21	0	0	0
2372225	2576693103	176	1	4	53	184028	40270	1	60.5	66	64.3	47.4	0	13	21	0	0	0
2372225	2576693227	176	1	4	56	40270	179369	1	70	35	86.5	13.2	0	13	21	0	0	0
2372225	2576693299	176	1	5	1	179369	40270	1	88.6	16.8	91	42.4	0	13	21	2	0	0
2372225	2576694121	450	1	5	50	138039	0	0	3	46.6	69.8	35.8	0	14	22	0	0	0
2372225	2576694185	176	1	5	55	538283	210171	1	30	60.2	23.7	53.2	0	15	23	0	0	0
2372225	2576694267	176	1	5	57	210171	0	0	23.7	53.2	61.4	50.8	0	15	23	0	0	0
2372225	2576694303	450	1	6	1	98851	0	1	37	45.7	46.3	42.2	0	16	24	0	3	0
2372225	2576694403	450	1	6	2	111232	152723	1	46.6	46.6	11.9	88.3	0	16	24	0	0	0
2372225	2576694449	450	1	6	8	152723	484702	1	10.4	89.3	45.5	85.6	0	16	24	0	0	0
2372225	2576694541	450	1	6	9	484702	109243	1	47.7	85.4	40.9	72.3	0	16	24	0	3	0
2372225	2576694587	450	1	6	14	109243	126290	1	46.2	52.1	46.6	13.4	0	16	24	0	0	0
2372225	2576694663	450	1	6	18	126290	130026	1	46.6	13.4	63.7	4.1	0	16	24	0	0	0
2372225	2576694745	450	1	6	18	130026	126290	1	63.7	4.1	63.7	13.2	0	16	24	0	0	0
2372225	2576694793	450	1	6	22	126290	477463	1	67.2	14.3	71.2	17.7	0	16	25	0	0	0
2372225	2576694873	450	1	6	23	477463	109243	1	70.1	22.1	65.8	27.4	0	16	25	0	0	0
2372225	2576694879	450	1	6	25	109243	484702	1	66.4	38.9	75.3	78.1	0	16	25	0	0	0
2372225	2576694921	450	1	6	28	484702	152723	1	75.6	79.7	93.7	92.1	0	16	25	0	0	0
2372225	2576694933	450	1	6	31	152723	0	0	96.6	92.1	96.2	88.6	0	16	25	2	0	0
2372225	2576695427	176	1	6	52	234580	247412	1	0.2	45.2	58.4	73.6	0	17	26	0	0	0
2372225	2576695437	176	1	6	56	247412	0	0	57.5	74.2	65.7	52.8	0	17	26	0	3	0
2372225	2576695521	450	1	6	57	98851	94273	1	35.7	40.6	67.4	53.6	0	0	0	0	3	0
2372225	2576695551	450	1	7	0	94273	0	1	68.6	56.4	62.8	63.1	0	18	27	0	3	0
2372225	2576695565	450	1	7	2	109243	477463	1	62.8	63	53.1	51.9	0	18	27	0	0	0
2372225	2576695577	450	1	7	3	477463	484702	1	53.1	51.9	61.4	41	0	18	27	0	0	0
2372225	2576695707	450	1	7	7	484702	130026	1	64.7	26.7	72.6	5	0	18	27	0	0	0
2372225	2576695735	450	1	7	11	130026	477463	1	74.7	14	71.6	34.8	0	18	27	0	0	0
2372225	2576695743	450	1	7	12	477463	234511	100	72	35.5	73.9	43.7	0	18	27	0	0	0
2372225	2576695787	450	1	7	14	477463	111232	1	68.6	33.6	63	44	0	18	28	0	0	0
2372225	2576695821	450	1	7	16	111232	98851	1	63.1	43.7	62.3	64	0	18	28	0	0	0
2372225	2576695895	450	1	7	17	98851	152723	1	61.5	65.5	69.6	90.5	0	18	28	0	0	0
2372225	2576695943	450	1	7	21	152723	210171	100	69.4	90.9	73.6	65.4	0	18	28	0	0	0
2372225	2576696025	450	1	7	23	109243	0	1	72.4	65.7	74.3	60.9	0	18	29	0	0	0
2372225	2576696307	450	1	7	39	109243	111232	1	72.2	63.7	65.5	64.9	0	18	30	0	0	0
2372225	2576696363	450	1	7	41	111232	244273	1	63.8	64.8	53.6	40.4	0	18	30	0	0	0
2372225	2576696439	450	1	7	44	244273	126290	1	53.6	40.4	59	4.7	0	18	30	0	0	0
2372225	2576696517	450	1	7	48	126290	244273	1	59.2	8.6	39.8	35.8	0	18	30	0	0	0
2372225	2576696629	450	1	7	50	244273	98851	1	39.8	36	39.2	73.9	0	18	30	0	0	0
2372225	2576696705	450	1	7	54	98851	0	1	39.2	73.8	54.4	92.9	0	18	30	0	0	0
2372225	2576696739	450	1	7	58	152723	98851	1	40.4	92	27.5	70.2	0	18	30	0	0	0
2372225	2576696799	450	1	8	1	98851	244273	1	28.4	64.8	29.1	32.1	0	18	30	0	0	0
2372225	2576696877	450	1	8	5	244273	109243	1	31	36.7	77.7	86.8	0	18	30	0	0	0
2372225	2576696917	450	1	8	8	109243	484702	1	78.9	93.8	71.4	88.4	0	18	30	0	3	0
2372225	2576697033	176	1	8	13	234511	247412	1	27.9	24	44.2	41.6	0	19	31	0	0	0
2372225	2576697039	176	1	8	14	247412	0	0	43.4	40.8	58.5	31.4	0	19	31	0	0	0
2372225	2576697089	450	1	8	19	98851	152723	1	39.3	69.1	53.6	90.2	0	20	32	0	0	0
2372225	2576697177	450	1	8	21	152723	109243	1	60.8	92.6	73.4	95	0	20	32	0	0	0
2372225	2576697271	450	1	8	25	109243	0	0	67.3	89.6	72.5	9.7	0	20	32	0	0	0
2372225	2576697975	450	1	9	5	477463	0	0	68.4	20.4	89.5	63.9	0	20	33	2	0	5
2372225	2576698141	450	1	9	15	109243	152723	1	84.5	100	72.1	92.1	0	20	34	0	0	0
2372225	2576698189	450	1	9	18	152723	109243	1	72.1	92.1	86.2	96.9	0	20	34	0	0	0
2372225	2576698271	450	1	9	21	109243	152723	1	79.7	96.5	65.4	96.3	0	20	34	0	0	0
2372225	2576698337	450	1	9	23	152723	98851	1	63.1	94.2	40.2	82	0	20	34	0	0	0
2372225	2576698441	450	1	9	27	98851	244273	1	41.1	80.3	27.7	44.3	0	20	34	0	0	0
2372225	2576698561	450	1	9	37	244273	98851	1	28.4	49.1	31.4	74.7	0	20	34	0	0	0
2372225	2576698701	450	1	9	41	98851	477463	1	34.2	71.4	35.1	24	0	20	34	0	0	0
2372225	2576698737	450	1	9	47	477463	126290	1	58.5	16.5	66	2.9	0	20	34	0	0	0
2372225	2576698773	450	1	9	48	126290	130026	1	66	3.2	72.8	4.7	0	20	34	0	0	0
2372225	2576698781	450	1	9	50	130026	179369	100	70.7	4.4	76.8	11.7	0	20	34	0	0	0
2372225	2576698931	176	1	9	55	242830	40270	1	31.9	77.6	35.4	65	0	21	35	0	0	0
2372225	2576698957	176	1	9	57	40270	234511	1	35.4	63.8	31.4	41.6	0	21	35	0	0	0
2372225	2576699007	176	1	9	58	234511	242313	1	31.5	41.6	37.8	22	0	21	35	0	0	0
2372225	2576699079	176	1	10	1	242313	195883	1	55.9	13.6	80.1	6.6	0	21	35	0	0	0
2372225	2576699085	176	1	10	6	195883	0	0	91.7	9	90.7	12.4	0	21	35	2	0	0
2372225	2576699581	176	1	10	30	538283	179369	1	99.5	0.5	83.3	11.2	0	21	36	0	0	6
2372225	2576699629	176	1	10	32	179369	234511	1	83.3	11.2	73.8	18.6	0	21	36	0	0	0
2372225	2576699639	176	1	10	35	234511	0	0	72.8	28.7	78.2	33	0	21	36	2	0	0
2372225	2576699819	450	1	10	41	126290	477463	1	40.8	7.4	72.5	31.6	0	22	37	0	0	0
2372225	2576699887	450	1	10	47	477463	126290	1	75.1	35.2	85.7	3.4	0	22	37	0	0	0
2372225	2576699915	450	1	10	50	126290	0	0	89.2	10.4	95.3	50.4	0	22	37	2	0	0
2372225	2576700031	176	1	10	54	179369	0	0	20.3	32.2	44.2	70.2	0	23	38	0	0	0
2372225	2576700127	450	1	10	56	484702	152723	1	54.9	29.8	66.2	53.3	0	24	39	0	0	0
2372225	2576700139	450	1	11	0	152723	130026	1	65	53.6	74.2	49.1	0	24	39	0	3	0
2372225	2576700197	450	1	11	2	130026	0	1	75.8	49.7	71.3	53.1	0	24	39	0	3	0
2372225	2576700267	450	1	11	4	109243	111232	1	71	54	67.7	42.7	0	24	39	0	0	0
2372225	2576700303	450	1	11	6	111232	126290	1	68.7	42.2	70	11.1	0	24	39	0	0	0
2372225	2576700321	450	1	11	9	126290	0	0	70	11.1	101.7	34.3	0	24	39	0	0	0
2372225	2576700993	176	1	11	27	234580	210171	1	3.7	51.4	15.9	24.8	0	25	40	0	0	0
2372225	2576701021	450	1	11	39	98851	477463	1	42	79.3	63.5	91.2	0	26	41	0	0	0
2372225	2576701223	176	1	11	52	242313	0	0	29.8	0	64.6	6.8	0	27	42	0	0	0
2372225	2576701517	176	1	12	5	242313	247412	1	59.1	0	72.8	11.2	0	27	43	0	0	0
2372225	2576701559	176	1	12	9	247412	242313	1	70.5	11.2	60	3.8	0	27	43	0	0	0
2372225	2576701681	176	1	12	11	242313	40270	1	59.7	3.6	88	26.6	0	27	43	0	0	0
2372225	2576702177	176	1	12	40	538283	0	0	99.5	0.5	92.6	61	0	27	44	2	0	6
2372225	2576702319	176	1	12	47	234511	40270	1	71.7	83.6	75.6	69.6	0	27	45	0	0	0
2372225	2576702371	176	1	12	49	40270	195883	1	75.6	69.6	95.7	70.4	0	27	45	0	0	0
2372225	2576702381	176	1	12	51	195883	0	0	95.7	71	92.5	67.4	0	27	45	0	0	0
2372225	2576702487	450	1	12	57	484702	0	0	10.8	4.4	46.8	17.1	0	28	46	0	0	0
2372225	2576702555	176	1	12	58	184028	0	1	51.3	87.8	57.7	79.2	0	29	47	0	3	0
2372225	2576702587	176	1	13	0	242830	242313	1	57.7	78.2	39.9	54.4	0	29	47	0	0	0
2372225	2576702647	176	1	13	3	242313	210171	1	40	54.4	46.9	43	0	29	47	0	0	0
2372225	2576702671	176	1	13	7	210171	538283	1	46.9	42.8	47.4	50	0	29	47	0	0	0
2372225	2576702725	176	1	13	8	538283	234511	1	47.4	50	53	65.2	0	29	47	0	0	0
2372225	2576702779	176	1	13	11	234511	184028	1	53.4	71.6	56.1	93.2	0	29	47	0	0	0
2372225	2576702839	176	1	13	13	184028	195883	1	57.6	92.2	68.1	95.6	0	29	47	0	0	0
2372225	2576702879	176	1	13	16	195883	184028	1	69.1	92.4	59.3	89.2	0	29	47	0	0	0
2372225	2576702935	176	1	13	18	184028	242830	1	58.6	88.4	44.6	67	0	29	47	0	0	0
2372225	2576703057	176	1	13	20	242830	210171	1	44.6	67	43.8	37.8	0	29	47	0	0	0
2372225	2576703133	176	1	13	28	210171	234580	1	41.4	23.6	15.7	44.4	0	29	47	0	0	0
2372225	2576703179	176	1	13	31	234580	242830	1	15.7	44.4	30.2	63	0	29	47	0	0	0
2372225	2576703215	176	1	13	35	242830	210171	1	30.9	62	28.2	36.2	0	29	47	0	0	0
2372225	2576703277	176	1	13	37	210171	247412	1	28.6	32.2	67.1	26.8	0	29	47	0	0	0
2372225	2576703299	176	1	13	40	247412	179369	1	67.7	26.8	64.2	28.6	0	29	47	0	0	0
2372225	2576703323	176	1	13	41	179369	0	0	64.6	28.6	75.3	19.8	0	29	47	0	0	0
2372225	2576703507	176	1	13	48	538283	242313	1	66.3	13.6	68.9	5.8	0	29	48	0	0	0
2372225	2576703521	176	1	13	50	242313	538283	1	68.9	5.6	68.1	15.8	0	29	48	0	0	0
2372225	2576703533	176	1	13	51	538283	242313	1	68.2	16	67.8	6.6	0	29	48	0	0	0
2372225	2576703567	176	1	13	53	242313	179369	1	67.1	6.6	77.4	3	0	29	48	0	0	0
2372225	2576703603	176	1	13	54	179369	538283	1	77.6	3	74.2	23.6	0	29	48	0	0	0
2372225	2576703631	176	1	13	57	538283	40270	1	75.6	28	72.7	45.8	0	29	48	0	0	0
2372225	2576703781	176	1	14	3	242830	234511	1	55.1	56.8	62.6	78	0	29	49	0	0	0
2372225	2576703891	176	1	14	6	234511	195883	1	62.9	78	70.3	93	0	29	49	0	0	0
2372225	2576703971	176	1	14	10	184028	538283	1	83.6	96.2	85.3	80.8	0	29	50	0	0	0
2372225	2576703985	176	1	14	12	538283	0	0	89.7	76.6	88.2	62.8	0	29	50	2	0	0
2372225	2576704055	450	1	14	14	109243	0	1	27.9	40.4	16.4	44.1	0	30	51	0	0	0
2372225	2576704099	450	1	14	15	484702	0	0	16.8	43.9	45.1	21	0	30	51	0	0	0
2372225	2576704151	176	1	14	20	242830	195883	1	54.3	78.6	59.7	81.8	0	31	52	0	0	0
2372225	2576704171	176	1	14	21	195883	538283	1	59.7	81.8	67.1	75.6	0	31	52	0	0	0
2372225	2576704191	176	1	14	23	538283	195883	1	67.1	75.6	66.4	85	0	31	52	0	0	0
2372225	2576704229	176	1	14	24	195883	538283	1	66.4	85	60.8	77.4	0	31	52	0	0	0
2372225	2576704343	176	1	14	26	538283	195883	1	62.1	74.6	67.5	95.2	0	31	52	0	0	0
2372225	2576704407	176	1	14	30	195883	242830	1	67	94	47.8	68	0	31	52	0	0	0
