team_id	code	type	player	x	y	min	sec	period
179	74	0blocked_pass	52538	9.8	36.7	0	20	1
191	74	0blocked_pass	247636	74	7.1	1	19	1
191	5	0ball_out	247636	73.2	0	1	20	1
179	44	0aerial_duel_lost	169813	25.9	66.2	1	43	1
191	13	miss	132105	80.9	32.4	2	55	1
191	5	0ball_out	132105	100	46.7	2	56	1
179	74	0blocked_pass	62974	73.6	98.1	3	36	1
179	5	0ball_out	62974	77	100	3	39	1
179	61	0mal_control	62974	68.6	91.5	3	56	1
191	61	0mal_control	222629	33.3	5	3	57	1
179	56	0me_cortan_balon_cuerpo	62974	66.7	96.5	3	58	1
191	5	0ball_out	222629	32.4	0	3	58	1
179	74	0blocked_pass	234991	79.3	94.8	4	32	1
179	5	0ball_out	234991	70	100	4	33	1
179	44	0aerial_duel_lost	234991	71.3	68	4	53	1
191	44	0aerial_duel_lost	247636	28.9	76.1	5	5	1
191	44	0aerial_duel_lost	220191	22.6	74.1	5	6	1
179	61	0mal_control	17740	58.8	5	5	52	1
179	5	0ball_out	17740	60.8	0	5	54	1
191	50	0dispossessed	247636	53.3	95.9	6	14	1
179	5	0ball_out	52538	55.4	0	6	16	1
191	44	0aerial_duel_lost	220191	55.6	81.8	6	30	1
179	61	0mal_control	103953	45	14.2	6	30	1
191	5	0ball_out	220191	45	100	6	33	1
191	12	0despeje_clearance	490239	9	40.6	7	19	1
191	74	0blocked_pass	220191	7.6	26.1	7	49	1
179	50	0dispossessed	169813	80.2	76.3	7	53	1
179	74	0blocked_pass	169813	76.5	75	7	55	1
191	12	0despeje_clearance	490239	18.1	49.7	8	4	1
179	44	0aerial_duel_lost	62974	88.4	54.6	8	23	1
191	12	0despeje_clearance	208135	10.8	43.5	8	24	1
179	44	0aerial_duel_lost	500267	86.8	48.9	8	28	1
191	12	0despeje_clearance	490239	12.5	47.4	8	28	1
191	12	0despeje_clearance	490239	11.2	54.6	8	37	1
179	13	miss	169813	78.8	62	8	39	1
179	5	0ball_out	169813	100	46.8	8	40	1
179	74	0blocked_pass	62974	87.4	93.9	9	9	1
179	5	0ball_out	62974	86.1	100	9	9	1
