codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	1737	109702	50.1	50	0	0	1	2372231	Cádiz	Roger Martí	1	0	0	29.5	37.1	0
1	pase	1737	130025	30.1	37.3	0	2	1	2372231	Cádiz	Luis Hernández	1	0	0	64	92.3	0
1	pase	1737	442838	63.7	92.1	0	5	1	2372231	Cádiz	Chris Ramos	1	0	0	66	81.9	0
1	pase	1737	109702	66	81.9	0	7	1	2372231	Cádiz	Roger Martí	1	0	0	61.4	84	0
61	toco_balon	1737	111133	61.4	84	0	9	1	2372231	Cádiz	Darwin Machís	1	0	0	0	0	0
61	toco_balon	173	201178	47.2	3.7	0	9	1	2372231	Alavés	Jon Guridi	1	0	0	0	0	0
1	pase_fallado	1737	463163	65.5	93.2	0	12	1	2372231	Cádiz	Javi Hernández	0	0	0	78.2	96	0
12	despeje	173	463001	21.3	1.4	0	13	1	2372231	Alavés	Abdelkabir Abqar	1	0	0	26.2	-1.7	0
5	balon_fuera	173	463001	28.4	0	0	14	1	2372231	Alavés	Abdelkabir Abqar	0	0	347	0	0	0
5	balon_fuera	1737	463163	71.6	100	0	14	1	2372231	Cádiz	Javi Hernández	1	0	347	0	0	0
1	pase_fallado	1737	130025	85.2	100	0	42	1	2372231	Cádiz	Luis Hernández	0	0	0	87.2	60	0
44	duelo_aereo	173	437465	13	42.2	0	44	1	2372231	Alavés	Antonio Blanco	1	0	0	0	0	0
44	duelo_aereo	1737	111133	87	57.8	0	44	1	2372231	Cádiz	Darwin Machís	0	0	0	0	0	0
12	despeje	173	437465	12.8	43.4	0	44	1	2372231	Alavés	Antonio Blanco	1	0	0	19.4	46.6	0
12	despeje	173	201178	19.4	46.6	0	46	1	2372231	Alavés	Jon Guridi	1	0	0	26.7	63.4	0
44	duelo_aereo	1737	178092	69.6	25.6	0	48	1	2372231	Cádiz	Fede San Emeterio	1	0	0	0	0	0
44	duelo_aereo	173	434941	30.4	74.4	0	48	1	2372231	Alavés	Luis Rioja	0	0	0	0	0	0
1	pase_fallado	1737	178092	66.1	19.3	0	48	1	2372231	Cádiz	Fede San Emeterio	0	0	0	69.7	23	0
