codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	191	439716	49.9	50.1	0	0	1	2372226	Valencia CF	Hugo Duro	1	0	0	35.2	59.7	0
1	pase	191	208135	35.2	59.7	0	1	1	2372226	Valencia CF	Mouctar Diakhaby	1	0	0	32.8	74.2	0
1	pase_fallado	191	132105	32.8	74.2	0	3	1	2372226	Valencia CF	José Gayà	0	0	0	77.3	96.3	0
1	pase_fallado	179	17740	25.1	5.2	0	7	1	2372226	Sevilla	Jesús Navas	0	0	0	35.8	7.1	0
1	pase	191	493072	65.7	95.1	0	14	1	2372226	Valencia CF	Diego López	1	0	0	68.2	82.3	0
45	regate_recibido	179	34703	30.8	17.4	0	15	1	2372226	Sevilla	Ivan Rakitic	0	0	0	0	0	0
3	regate_conseguido	191	208135	69.2	82.6	0	15	1	2372226	Valencia CF	Mouctar Diakhaby	1	0	0	0	0	0
3	regate_conseguido	191	208135	74.9	78.4	0	16	1	2372226	Valencia CF	Mouctar Diakhaby	1	0	0	0	0	0
45	regate_recibido	179	52538	25.1	21.6	0	16	1	2372226	Sevilla	Fernando	0	0	0	0	0	0
1	pase	191	208135	78.5	77.9	0	17	1	2372226	Valencia CF	Mouctar Diakhaby	1	0	0	82.8	82.8	0
1	pase_fallado	191	247636	90.7	65.5	0	20	1	2372226	Valencia CF	André Almeida	0	0	0	89.3	63.7	0
74	bloqueo_pase	179	52538	9.8	36.7	0	20	1	2372226	Sevilla	Fernando	1	0	0	0	0	0
52	portero_agarrra_pelota	179	120026	3.8	49.3	0	21	1	2372226	Sevilla	Yassine Bounou	0	0	0	0	0	0
1	pase	179	120026	13.1	53.6	0	57	1	2372226	Sevilla	Yassine Bounou	1	0	0	20.4	68.9	0
1	pase	179	72154	21	69.3	0	59	1	2372226	Sevilla	Nemanja Gudelj	1	0	0	11.2	52.4	0
1	pase	179	120026	11.6	52.4	1	2	1	2372226	Sevilla	Yassine Bounou	1	0	0	18.8	12.8	0
1	pase	179	500267	18.8	12.8	1	4	1	2372226	Sevilla	Loïc Badé	1	0	0	30.6	5.8	0
1	pase	179	17740	30.3	5.8	1	6	1	2372226	Sevilla	Jesús Navas	1	0	0	13.1	17.3	0
1	pase	179	500267	15.1	25.1	1	11	1	2372226	Sevilla	Loïc Badé	1	0	0	19.1	70.2	0
1	pase_fallado	179	72154	24	74.9	1	15	1	2372226	Sevilla	Nemanja Gudelj	0	0	0	35.3	90.5	0
49	recuperacion_balon	191	466057	72.7	7.7	1	15	1	2372226	Valencia CF	Fran Pérez	1	0	0	0	0	0
3	regate_fallado	191	466057	72.6	7.1	1	16	1	2372226	Valencia CF	Fran Pérez	0	0	0	0	0	0
