team_id	code	type	player	x	y	min	sec	period
186	61	0mal_control	227166	7.5	62.9	0	31	1
174	61	0mal_control	437554	40.4	7.1	1	12	1
174	5	0ball_out	437554	39.2	0	1	13	1
174	44	0aerial_duel_lost	76012	64.2	93.5	1	36	1
186	61	0mal_control	227166	30.9	98.1	2	10	1
186	5	0ball_out	244855	24.6	100	2	17	1
174	5	0ball_out	197326	88.1	0	2	39	1
174	44	0aerial_duel_lost	440593	56.2	19.3	2	52	1
174	74	0blocked_pass	76012	28.1	44.5	3	17	1
174	61	0mal_control	96736	33.2	11.8	3	23	1
174	44	0aerial_duel_lost	76012	55.5	22	3	30	1
174	56	0me_cortan_balon_cuerpo	437554	3	24.2	4	10	1
186	5	0ball_out	475561	100	77.6	4	11	1
174	61	0mal_control	523654	63.7	97.3	6	5	1
174	5	0ball_out	523654	69.8	100	6	6	1
174	61	0mal_control	197326	37.4	39.5	6	34	1
174	61	0mal_control	523654	55.5	70.5	6	37	1
174	8	0interception	197326	42.2	70.5	6	56	1
174	74	0blocked_pass	197314	32.4	89.3	6	59	1
174	12	0despeje_clearance	437554	18	49.1	7	6	1
186	44	0aerial_duel_lost	246333	94.6	86.2	7	13	1
174	12	0despeje_clearance	437554	9.6	56.9	8	2	1
174	5	0ball_out	437554	11.4	100	8	4	1
174	50	0dispossessed	619506	52.6	45.8	8	54	1
174	50	0dispossessed	96736	44.6	43.7	8	58	1
186	8	0interception	244855	47.6	77.9	9	7	1
186	61	0mal_control	246333	85.7	88.4	9	21	1
186	5	0ball_out	246333	100	88.6	9	24	1
174	61	0mal_control	59062	89.3	16.5	10	43	1
174	5	0ball_out	59062	71	0	10	52	1
174	74	0blocked_pass	619506	73.6	2.6	11	19	1
174	5	0ball_out	619506	72.6	0	11	19	1
174	74	0blocked_pass	197314	19.2	72.6	11	47	1
174	12	0despeje_clearance	619506	3.3	47.2	12	56	1
186	13	miss	223255	74.1	68.2	13	31	1
186	5	0ball_out	223255	100	50.2	13	32	1
174	50	0dispossessed	76012	60.7	9.6	14	12	1
174	5	0ball_out	76012	60.8	0	14	13	1
186	44	0aerial_duel_lost	440077	63.6	25	14	38	1
186	12	0despeje_clearance	219292	15.2	60.3	15	23	1
186	61	0mal_control	227166	32.4	89	16	21	1
186	61	0mal_control	227166	22.9	93.8	17	3	1
186	74	0blocked_pass	227166	20.4	95.1	17	4	1
174	44	0aerial_duel_lost	619506	33	35.5	17	59	1
186	8	0interception	475561	74.3	79.1	18	37	1
186	5	0ball_out	475561	100	96	18	41	1
186	5	0ball_out	475561	51	100	19	29	1
174	50	0dispossessed	619506	63	37.2	19	39	1
174	44	0aerial_duel_lost	96736	53.3	28.4	19	52	1
186	61	0mal_control	88483	65.7	2.3	20	11	1
174	50	0dispossessed	76012	37.9	87.2	20	13	1
186	61	0mal_control	244855	67.6	58.8	20	27	1
186	44	0aerial_duel_lost	475561	66.7	75.4	20	32	1
186	8	0interception	88483	46.5	21.3	21	3	1
174	61	0mal_control	619506	60.3	70	21	7	1
186	61	0mal_control	440077	66	26.4	21	23	1
186	61	0mal_control	244855	68.1	35.7	21	37	1
174	50	0dispossessed	76012	43.8	69.3	21	52	1
174	61	0mal_control	76012	44.3	70.4	21	56	1
174	12	0despeje_clearance	212769	2.9	56.6	22	7	1
174	50	0dispossessed	523654	44.3	29.3	22	38	1
186	50	0dispossessed	227166	72.4	63.3	22	49	1
174	44	0aerial_duel_lost	59062	23.9	20	22	55	1
186	15	attempt_saved	50188	77.2	84.7	23	44	1
174	61	0mal_control	523654	45.9	40.7	24	41	1
186	5	0ball_out	227166	87.2	0	24	51	1
186	56	0me_cortan_balon_cuerpo	50188	3.1	13.5	25	18	1
174	5	0ball_out	523654	100	84.6	25	19	1
186	50	0dispossessed	223255	43.6	11.6	25	39	1
186	61	0mal_control	246333	74.9	63.3	26	14	1
186	74	0blocked_pass	244855	35.2	82.6	26	29	1
174	5	0ball_out	197326	100	23.9	26	36	1
174	8	0interception	59062	21.6	11.7	27	2	1
174	5	0ball_out	59062	23.6	0	27	4	1
186	16	goal	440077	91	32	27	30	1
174	44	0aerial_duel_lost	96736	26	8.4	29	0	1
174	12	0despeje_clearance	197334	8.8	45.2	29	36	1
174	44	0aerial_duel_lost	197326	39.2	84.1	30	21	1
174	12	0despeje_clearance	437554	23.3	8.9	30	53	1
186	5	0ball_out	227166	74.5	100	30	54	1
174	50	0dispossessed	523654	59.3	23	31	53	1
