codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	449	143877	50	50	0	0	1	2372229	Villarreal	Alexander Sørloth	1	0	0	37.7	50.8	0
1	pase	449	51952	36.2	51.6	0	4	1	2372229	Villarreal	Dani Parejo	1	0	0	24.9	74.4	0
1	pase	449	246301	24.9	74.4	0	7	1	2372229	Villarreal	Jorge Cuenca	1	0	0	12.2	48.8	0
1	pase	449	508479	12.2	48.8	0	11	1	2372229	Villarreal	Filip Jörgensen	1	0	0	14.1	39	0
1	pase_fallado	449	86813	14.5	33.5	0	14	1	2372229	Villarreal	Aïssa Mandi	0	0	0	32.9	58.9	0
8	pase_cortado	185	509290	66.6	43.4	0	15	1	2372229	Real Betis	Luiz Henrique	1	0	0	0	0	0
1	pase	449	51952	33.4	50.4	0	17	1	2372229	Villarreal	Dani Parejo	1	0	0	29.6	88.8	0
1	pase	449	100059	37.2	84.7	0	22	1	2372229	Villarreal	Alberto Moreno	1	0	0	46.5	93.7	0
1	pase	449	248501	46.8	92.9	0	24	1	2372229	Villarreal	Álex Baena	1	0	0	35.8	88.6	0
1	pase	449	100059	35.8	88.6	0	26	1	2372229	Villarreal	Alberto Moreno	1	0	0	37.2	75	0
1	pase	449	51952	45.2	70.5	0	27	1	2372229	Villarreal	Dani Parejo	1	0	0	31.6	46.2	0
1	pase	449	86813	41.4	27.7	0	31	1	2372229	Villarreal	Aïssa Mandi	1	0	0	46.8	9	0
1	pase	449	93721	45.9	8.6	0	33	1	2372229	Villarreal	Gerard Moreno	1	0	0	67.8	8.4	0
1	pase	449	519373	67.8	8.4	0	37	1	2372229	Villarreal	Ramón Terrats	1	0	0	64.9	23.8	0
1	pase_fallado	449	93721	67.2	34.8	0	40	1	2372229	Villarreal	Gerard Moreno	0	0	0	76	46.7	0
8	pase_cortado	185	121220	30.3	56.8	0	41	1	2372229	Real Betis	Germán Pezzella	1	0	0	0	0	0
49	recuperacion_balon	185	234370	30.5	72.8	0	42	1	2372229	Real Betis	Marc Roca	1	0	0	0	0	0
1	pase	185	234370	26.9	72.6	0	42	1	2372229	Real Betis	Marc Roca	1	0	0	35.9	73.4	0
61	toco_balon	185	80209	39	66.2	0	43	1	2372229	Real Betis	Isco	0	0	0	0	0	0
1	pase	449	234908	59.4	25.4	0	44	1	2372229	Villarreal	Juan Foyth	1	0	0	61.2	30.1	0
49	recuperacion_balon	449	51952	60.8	29.7	0	44	1	2372229	Villarreal	Dani Parejo	1	0	0	0	0	0
1	pase	449	51952	60.2	29.3	0	44	1	2372229	Villarreal	Dani Parejo	1	0	0	63.7	9	0
50	me_roban_balon	449	519373	62.6	12.8	0	46	1	2372229	Villarreal	Ramón Terrats	0	0	0	0	0	0
7	entrada	185	234370	37.4	87.2	0	47	1	2372229	Real Betis	Marc Roca	1	0	0	0	0	0
