codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	5683	174816	49.9	50.2	0	0	1	2372224	Granada CF	Myrto Uzuni	1	0	0	31.2	49.8	0
1	pase	5683	450429	30.4	47.4	0	2	1	2372224	Granada CF	Miguel Ángel Rubio	1	0	0	28.9	23.2	0
1	pase	5683	178876	28.9	23.4	0	5	1	2372224	Granada CF	Jesús Vallejo	1	0	0	24.4	45.8	0
1	pase	5683	450429	23.7	51.4	0	8	1	2372224	Granada CF	Miguel Ángel Rubio	1	0	0	25.5	86.1	0
1	pase_fallado	5683	90801	27.1	88.7	0	11	1	2372224	Granada CF	Ignasi Miquel	0	0	0	72.5	63.3	0
44	duelo_aereo	175	65807	28.2	38.7	0	14	1	2372224	Atlético de Madrid	Stefan Savic	1	0	0	0	0	0
44	duelo_aereo	5683	624878	71.8	61.3	0	14	1	2372224	Granada CF	Samu	0	0	0	0	0	0
1	pase_fallado	175	65807	29	40.7	0	14	1	2372224	Atlético de Madrid	Stefan Savic	0	0	0	34.7	37.6	0
1	pase_fallado	5683	243718	65.2	70.8	0	16	1	2372224	Granada CF	Óscar Melendo	0	0	0	69	54	0
61	toco_balon	175	213431	28.3	47.6	0	17	1	2372224	Atlético de Madrid	Mario Hermoso	0	0	0	0	0	0
1	pase_fallado	5683	244243	63.1	61.9	0	18	1	2372224	Granada CF	Sergio Ruiz	0	0	0	78.9	73.1	0
49	recuperacion_balon	175	41328	23.1	27.2	0	19	1	2372224	Atlético de Madrid	César Azpilicueta	1	0	0	0	0	0
1	pase	175	41328	21.4	27.7	0	19	1	2372224	Atlético de Madrid	César Azpilicueta	1	0	0	32	27.9	0
1	pase	175	77390	36.8	32.8	0	20	1	2372224	Atlético de Madrid	Koke	1	0	0	41.5	6.5	0
1	pase	175	76650	43.1	4	0	22	1	2372224	Atlético de Madrid	Antoine Griezmann	1	0	0	29	7.4	0
1	pase	175	192364	29	7.4	0	24	1	2372224	Atlético de Madrid	Marcos Llorente	1	0	0	15.3	17.1	0
1	pase	175	41328	14.4	22.9	0	27	1	2372224	Atlético de Madrid	César Azpilicueta	1	0	0	8.3	60.6	0
1	pase	175	65807	8.1	64.8	0	29	1	2372224	Atlético de Madrid	Stefan Savic	1	0	0	20.2	80	0
1	pase	175	213431	21.2	83.8	0	32	1	2372224	Atlético de Madrid	Mario Hermoso	1	0	0	15.4	67.8	0
1	pase	175	65807	22.8	63.3	0	37	1	2372224	Atlético de Madrid	Stefan Savic	1	0	0	39.3	90.2	0
1	pase	175	167449	39.9	91.1	0	39	1	2372224	Atlético de Madrid	Thomas Lemar	1	0	0	27.6	82.6	0
1	pase	175	213431	26	81.4	0	41	1	2372224	Atlético de Madrid	Mario Hermoso	1	0	0	32.2	87.7	0
50	me_roban_balon	175	167449	30.5	94.1	0	43	1	2372224	Atlético de Madrid	Thomas Lemar	0	0	0	0	0	0
7	entrada	5683	244243	69.5	5.9	0	43	1	2372224	Granada CF	Sergio Ruiz	0	0	0	0	0	0
61	toco_balon	175	167449	30.4	95.3	0	43	1	2372224	Atlético de Madrid	Thomas Lemar	1	0	0	0	0	0
5	balon_fuera	5683	244243	73.5	0	0	45	1	2372224	Granada CF	Sergio Ruiz	1	0	347	0	0	0
5	balon_fuera	175	167449	26.5	100	0	45	1	2372224	Atlético de Madrid	Thomas Lemar	0	0	347	0	0	0
1	pase	5683	51732	74	0	1	1	1	2372224	Granada CF	José Callejón	1	0	0	93.2	6.4	0
1	pase	5683	624878	93.7	3.4	1	4	1	2372224	Granada CF	Samu	1	0	0	91.1	7.6	0
1	pase_fallado	5683	51732	95.4	12.2	1	6	1	2372224	Granada CF	José Callejón	0	0	0	96.4	18	0
12	despeje	175	77390	3.4	81.2	1	6	1	2372224	Atlético de Madrid	Koke	1	0	0	0	0	0
44	duelo_aereo	175	213431	5.6	73.8	1	8	1	2372224	Atlético de Madrid	Mario Hermoso	1	0	0	0	0	0
44	duelo_aereo	5683	624878	94.4	26.2	1	8	1	2372224	Granada CF	Samu	0	0	0	0	0	0
12	despeje	175	213431	5.2	74.5	1	8	1	2372224	Atlético de Madrid	Mario Hermoso	1	0	0	7.8	86.5	0
1	pase_fallado	5683	51732	93.5	14.3	1	10	1	2372224	Granada CF	José Callejón	0	0	0	99.1	43.7	0
52	portero_agarrra_pelota	175	81352	2.3	56.1	1	12	1	2372224	Atlético de Madrid	Jan Oblak	0	0	0	0	0	0
