codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	176	247412	49.7	50	0	0	1	2372225	Celta de Vigo	Jørgen Strand Larsen	1	0	0	45.6	47	0
1	pase	176	40270	45.6	47	0	0	1	2372225	Celta de Vigo	Iago Aspas	1	0	0	35	53.6	0
1	pase	176	538283	35.6	54.4	0	3	1	2372225	Celta de Vigo	Hugo Sotelo	1	0	0	32.6	47.6	0
1	pase	176	234511	32.6	47.6	0	3	1	2372225	Celta de Vigo	Fran Beltrán	1	0	0	26.9	66.6	0
1	pase	176	242830	28.2	65	0	7	1	2372225	Celta de Vigo	Unai Núñez	1	0	0	26.2	39.4	0
1	pase	176	210171	27.2	36.6	0	9	1	2372225	Celta de Vigo	Joseph Aidoo	1	0	0	29.8	11	0
1	pase	176	242313	29.8	11	0	11	1	2372225	Celta de Vigo	Óscar Mingueza	1	0	0	23.7	33	0
1	pase	176	210171	23.5	34.8	0	13	1	2372225	Celta de Vigo	Joseph Aidoo	1	0	0	24.7	70	0
1	pase	176	242830	24.5	70.8	0	15	1	2372225	Celta de Vigo	Unai Núñez	1	0	0	27.3	94	0
1	pase	176	184028	27.2	93.4	0	17	1	2372225	Celta de Vigo	Franco Cervi	1	0	0	18.1	73.8	0
1	pase	176	242830	14.2	71.4	0	20	1	2372225	Celta de Vigo	Unai Núñez	1	0	0	19.8	32.6	0
1	pase	176	210171	22.8	27.8	0	23	1	2372225	Celta de Vigo	Joseph Aidoo	1	0	0	23.7	13	0
1	pase	176	242313	22	13.2	0	25	1	2372225	Celta de Vigo	Óscar Mingueza	1	0	0	32.9	22.2	0
1	pase	176	234511	29.8	9.4	0	27	1	2372225	Celta de Vigo	Fran Beltrán	1	0	0	35.3	4.8	0
1	pase	176	179369	35.6	5.2	0	28	1	2372225	Celta de Vigo	Carles Pérez	1	0	0	44.9	31.6	0
1	pase_fallado	176	538283	47.7	36.2	0	30	1	2372225	Celta de Vigo	Hugo Sotelo	0	0	0	89.7	62.2	0
52	portero_agarrra_pelota	450	138039	6.4	32.1	0	35	1	2372225	Osasuna	Sergio Herrera	0	0	0	0	0	0
1	pase	450	138039	14.5	43.9	0	47	1	2372225	Osasuna	Sergio Herrera	1	0	0	68.4	16.5	0
1	pase_fallado	450	130026	68.4	16.5	0	50	1	2372225	Osasuna	Rubén García	0	0	0	73.4	40	0
49	recuperacion_balon	176	210171	28.2	52	0	51	1	2372225	Celta de Vigo	Joseph Aidoo	1	0	0	0	0	0
1	pase_fallado	176	210171	28.2	52	0	51	1	2372225	Celta de Vigo	Joseph Aidoo	0	0	0	54.3	42.2	0
1	pase_fallado	450	152723	47.5	56	0	53	1	2372225	Osasuna	Johan Mojica	0	0	0	47.1	43.1	0
1	pase_fallado	176	247412	54.7	55.2	0	55	1	2372225	Celta de Vigo	Jørgen Strand Larsen	0	0	0	59.8	38.4	0
1	pase	450	152723	40.1	60.3	0	56	1	2372225	Osasuna	Johan Mojica	1	0	0	35.1	43	0
