codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase_fallado	407	449718	94.7	29.9	2	52	1	2372227	Las Palmas	Enzo Loiodice	0	0	0	87.8	28.9	0
49	recuperacion_balon	181	227164	13.4	69.1	2	54	1	2372227	Mallorca	Manu Morlanes	1	0	0	0	0	0
1	pase	181	227164	13.2	68.4	2	55	1	2372227	Mallorca	Manu Morlanes	1	0	0	13	89.6	0
1	pase_fallado	181	58792	13	90	2	56	1	2372227	Mallorca	Jaume Costa	0	0	0	52.3	79.6	0
49	recuperacion_balon	407	167432	45.7	25	3	0	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	0	0	0
1	pase	407	167432	41.2	30.1	3	0	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	22.5	42.7	0
1	pase	407	472194	22.7	44.5	3	8	1	2372227	Las Palmas	Álvaro Vallés	1	0	0	27.3	38.2	0
1	pase	407	451565	29.6	38.8	3	10	1	2372227	Las Palmas	Saúl Coco	1	0	0	35.9	50.7	0
1	pase	407	484753	35	50.4	3	14	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	40.1	82.6	0
1	pase	407	167432	44.6	87.9	3	18	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	38.1	70.1	0
1	pase	407	487703	42.2	61.2	3	22	1	2372227	Las Palmas	Álex Suárez	1	0	0	46.6	37.7	0
1	pase	407	451565	44.2	33.4	3	25	1	2372227	Las Palmas	Saúl Coco	1	0	0	56.4	35.3	0
1	pase	407	484753	53.7	27.7	3	28	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	58.8	13.2	0
1	pase	407	213469	54.4	7.3	3	30	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	39.5	30.1	0
1	pase	407	451565	35.8	39	3	33	1	2372227	Las Palmas	Saúl Coco	1	0	0	38.5	66.6	0
1	pase_fallado	407	487703	39.5	66.6	3	37	1	2372227	Las Palmas	Álex Suárez	0	0	0	79.8	73.5	0
1	pase	181	195923	21.2	26.8	3	40	1	2372227	Mallorca	Giovanni González	1	0	0	10.4	38.8	0
52	portero_agarrra_pelota	181	104407	8.3	39	3	41	1	2372227	Mallorca	Predrag Rajkovic	0	0	0	0	0	0
1	pase_fallado	181	104407	13.9	43.4	3	48	1	2372227	Mallorca	Predrag Rajkovic	0	0	0	70.1	20.4	0
1	pase_fallado	407	167432	32.5	90.1	3	52	1	2372227	Las Palmas	Daley Sinkgraven	0	0	0	39.4	85.8	0
1	pase_fallado	181	80906	60.5	25.9	3	53	1	2372227	Mallorca	Dani Rodríguez	0	0	0	67.4	18.2	0
