team_id	code	type	player	x	y	min	sec	period
185	8	0interception	509290	66.6	43.4	0	15	1
185	8	0interception	121220	30.3	56.8	0	41	1
185	61	0mal_control	80209	39	66.2	0	43	1
449	50	0dispossessed	519373	62.6	12.8	0	46	1
449	74	0blocked_pass	519373	46.2	8.6	1	0	1
449	5	0ball_out	143877	61.7	0	1	7	1
185	50	0dispossessed	80209	49.4	68	2	5	1
449	8	0interception	93721	70.3	5.5	2	42	1
449	5	0ball_out	93721	70.5	0	2	45	1
185	8	0interception	234370	60	68.1	3	21	1
449	8	0interception	234908	21.6	12.6	3	39	1
449	5	0ball_out	86813	13.7	0	3	45	1
185	50	0dispossessed	168580	87.6	95	3	55	1
449	74	0blocked_pass	93721	12.8	4.4	3	57	1
449	5	0ball_out	234908	18	0	3	58	1
185	61	0mal_control	509290	76.3	9.6	4	22	1
449	15	attempt_saved	93721	86	41.8	4	47	1
185	44	0aerial_duel_lost	197024	10.4	54	5	26	1
449	13	miss	246301	88.4	49.4	5	26	1
185	12	0despeje_clearance	168580	8	57.9	5	27	1
185	5	0ball_out	80209	30.1	100	5	34	1
449	61	0mal_control	100059	43.7	94.9	6	17	1
449	44	0aerial_duel_lost	100059	55.7	95.4	6	18	1
185	44	0aerial_duel_lost	509290	40.2	15.8	6	51	1
185	8	0interception	234370	66.3	65.4	7	59	1
185	13	miss	80209	78.1	59.2	8	2	1
185	5	0ball_out	80209	100	55.4	8	3	1
185	61	0mal_control	197024	41.7	64.2	8	56	1
185	44	0aerial_duel_lost	197024	42.8	64.1	8	57	1
185	74	0blocked_pass	215510	2.8	26.5	9	57	1
185	12	0despeje_clearance	121220	5.1	43.5	10	30	1
185	44	0aerial_duel_lost	509290	63.2	12.6	11	21	1
449	8	0interception	100059	23.8	73.8	11	27	1
449	12	0despeje_clearance	234908	7.9	17.9	12	13	1
449	12	0despeje_clearance	234908	6.1	26	12	16	1
185	44	0aerial_duel_lost	168580	90.4	83.6	12	27	1
449	8	0interception	86813	62	18.7	13	26	1
185	61	0mal_control	164474	6.6	8.5	15	3	1
185	12	0despeje_clearance	121220	10.5	26.4	15	8	1
185	5	0ball_out	121220	9.8	0	15	10	1
449	61	0mal_control	519373	94.7	91.6	15	39	1
449	44	0aerial_duel_lost	519373	91.8	88.7	15	42	1
449	44	0aerial_duel_lost	230071	38.5	82.6	16	13	1
185	44	0aerial_duel_lost	234370	64	36	16	15	1
185	5	0ball_out	509290	100	16.6	16	26	1
449	74	0blocked_pass	246301	31.8	78.4	17	9	1
185	15	attempt_saved	475344	88.5	67.2	17	20	1
185	5	0ball_out	234370	87.9	100	17	31	1
185	5	0ball_out	202044	65.8	100	17	54	1
449	61	0mal_control	230071	72.2	80.1	18	18	1
449	44	0aerial_duel_lost	100059	50.4	92.7	18	27	1
449	50	0dispossessed	248501	65.5	65	19	8	1
185	16	goal	168580	87.5	50.3	19	22	1
449	50	0dispossessed	234908	35.8	12.4	20	45	1
449	12	0despeje_clearance	86813	3.8	41.2	20	56	1
185	44	0aerial_duel_lost	202044	92.2	55.6	20	56	1
449	12	0despeje_clearance	246301	9.3	55.7	22	3	1
449	18	player_off	100059	9.8	82.1	23	15	1
449	18	player_off	100059	9.8	82.1	23	15	1
449	19	player_in	208380	9.8	82.1	23	15	1
449	5	0ball_out	208380	7.7	100	23	26	1
449	8	0interception	230071	11.9	86.2	23	49	1
449	5	0ball_out	230071	8.4	100	23	51	1
449	8	0interception	208380	5.4	84.6	24	0	1
185	5	0ball_out	509290	100	23.1	24	4	1
185	74	0blocked_pass	80209	83.8	9.3	24	34	1
185	5	0ball_out	80209	86.6	0	24	37	1
185	61	0mal_control	168580	72.8	31.9	24	54	1
185	74	0blocked_pass	234370	16.7	75	25	13	1
185	8	0interception	168580	28.4	90.4	25	26	1
185	5	0ball_out	168580	30	100	25	30	1
449	61	0mal_control	51952	66.7	21.2	25	52	1
185	50	0dispossessed	202044	36.4	61.5	25	55	1
185	74	0blocked_pass	509290	35.4	47.1	25	58	1
449	15	attempt_saved	248501	76.6	65.6	26	12	1
185	44	0aerial_duel_lost	202044	63.9	10.5	26	40	1
185	8	0interception	197024	26	31.8	27	45	1
185	12	0despeje_clearance	215510	11.1	59.4	27	57	1
185	74	0blocked_pass	475344	16.1	81.5	28	1	1
185	12	0despeje_clearance	121220	7.9	53.9	28	7	1
185	12	0despeje_clearance	197024	14.8	56.6	28	8	1
449	50	0dispossessed	519373	79.3	7.8	28	20	1
449	50	0dispossessed	519373	79.3	6.9	28	22	1
449	8	0interception	93721	69.4	11.4	28	27	1
449	61	0mal_control	143877	76.6	27.7	28	29	1
185	5	0ball_out	197024	40.6	100	28	34	1
449	44	0aerial_duel_lost	230071	92.2	92.8	29	42	1
449	44	0aerial_duel_lost	246301	26.9	74.1	32	9	1
449	74	0blocked_pass	208380	30.6	94.5	32	12	1
185	5	0ball_out	80209	70	0	32	13	1
185	44	0aerial_duel_lost	168580	52.4	75.6	33	3	1
449	8	0interception	234908	69.6	8	33	15	1
449	74	0blocked_pass	230071	24.8	27.7	33	30	1
449	5	0ball_out	246301	27.4	0	33	38	1
449	44	0aerial_duel_lost	248501	17.6	86.6	34	31	1
185	44	0aerial_duel_lost	215510	55.7	64.7	36	4	1
185	8	0interception	475344	52.3	79.9	36	5	1
185	61	0mal_control	80209	55.7	47.1	36	8	1
185	8	0interception	168580	36.2	78.4	36	51	1
185	5	0ball_out	168580	73.4	100	37	2	1
185	44	0aerial_duel_lost	168580	51.2	79.9	37	51	1
185	5	0ball_out	234370	73.1	100	38	1	1
185	50	0dispossessed	234370	60.6	68.9	38	28	1
185	44	0aerial_duel_lost	215510	6.7	52.8	39	0	1
449	15	attempt_saved	248501	93	47.6	39	0	1
185	44	0aerial_duel_lost	164474	9.2	50	39	4	1
449	13	miss	230071	89.7	47.6	39	4	1
185	12	0despeje_clearance	215510	8.8	53.7	39	5	1
449	61	0mal_control	519373	94.2	29.1	39	10	1
185	8	0interception	164474	30.6	31.6	39	54	1
449	44	0aerial_duel_lost	246301	56.2	67	39	58	1
185	44	0aerial_duel_lost	80209	59.4	19	40	33	1
449	61	0mal_control	248501	67.5	66.5	41	3	1
449	61	0mal_control	93721	97.9	25.6	41	37	1
449	5	0ball_out	93721	100	28	41	38	1
185	5	0ball_out	124097	52.4	0	42	15	1
185	12	0despeje_clearance	164474	17.9	39.2	43	26	1
449	5	0ball_out	234908	100	62.6	43	42	1
185	44	0aerial_duel_lost	509290	58.8	32.4	44	20	1
185	15	attempt_saved	168580	87.8	41.2	44	25	1
449	12	0despeje_clearance	230071	5.3	58.9	45	6	1
185	74	0blocked_pass	168580	87.6	62.3	45	9	1
185	61	0mal_control	121220	85.5	68.1	45	15	1
185	8	0interception	197024	21.4	30.7	45	31	1
185	15	attempt_saved	509290	81.5	33.6	45	47	1
449	5	0ball_out	246301	6.7	0	45	53	1
185	50	0dispossessed	168580	89.6	95.6	46	31	1
185	15	attempt_saved	509290	95.4	64.1	47	3	1
449	50	0dispossessed	51952	61.1	69	47	33	1
449	44	0aerial_duel_lost	208380	41.4	80.8	47	44	1
185	44	0aerial_duel_lost	164474	69.4	14.8	47	49	1
185	8	0interception	475344	24.1	83	48	11	1
185	44	0aerial_duel_lost	168580	38.1	79.8	48	14	1
185	61	0mal_control	215510	17.5	94.1	48	38	1
185	12	0despeje_clearance	197024	7.5	57.4	48	44	1
185	44	0aerial_duel_lost	215510	7.2	52.9	49	10	1
449	15	attempt_saved	93721	92.2	47.6	49	10	1
185	44	0aerial_duel_lost	80209	9.8	41.2	49	32	1
449	8	0interception	230071	55.4	80.1	49	44	1
185	18	player_off	202044	76.3	96	45	0	2
185	18	player_off	202044	76.3	96	45	0	2
185	19	player_in	73314	76.3	96	45	0	2
185	12	0despeje_clearance	164474	22.5	4.8	45	23	2
185	74	0blocked_pass	509290	23.8	10.5	45	37	2
449	15	attempt_saved	208380	81.8	63.7	45	53	2
449	13	miss	519373	80.9	44.3	45	56	2
449	5	0ball_out	519373	100	38.1	45	57	2
449	5	0ball_out	234908	48	0	46	44	2
449	44	0aerial_duel_lost	230071	23.2	74.5	47	17	2
185	44	0aerial_duel_lost	121220	95.8	67.2	48	6	2
185	8	0interception	121220	23.4	26.1	48	43	2
449	15	attempt_saved	248501	94.3	69.3	48	50	2
185	50	0dispossessed	168580	62.4	65.2	49	17	2
185	44	0aerial_duel_lost	168580	41.4	62.3	50	20	2
185	74	0blocked_pass	475344	17.8	88.6	50	58	2
185	44	0aerial_duel_lost	121220	9.2	47.4	51	23	2
449	14	post	234908	90.7	59	51	23	2
449	61	0mal_control	143877	95.7	44.1	51	24	2
185	12	0despeje_clearance	124097	1.8	51.8	51	25	2
449	15	attempt_saved	248501	89.2	27	51	28	2
185	12	0despeje_clearance	475344	3.6	58.5	52	2	2
185	12	0despeje_clearance	475344	5	66.5	52	10	2
449	44	0aerial_duel_lost	248501	88.1	21.3	52	14	2
185	5	0ball_out	124097	49.1	100	52	48	2
185	44	0aerial_duel_lost	80209	45.9	57.8	54	0	2
185	74	0blocked_pass	215510	23.6	89.6	55	18	2
185	5	0ball_out	215510	24.8	100	55	19	2
449	18	player_off	230071	99.5	99.5	56	13	2
449	18	player_off	230071	99.5	99.5	56	13	2
449	19	player_in	38439	99.5	99.5	56	13	2
449	44	0aerial_duel_lost	234908	91.4	49.7	56	29	2
449	44	0aerial_duel_lost	208380	42.9	77.2	57	0	2
