codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	188	178880	50.1	50.2	0	0	1	2372230	Real Sociedad	Brais Méndez	1	0	0	38.1	48.5	0
1	pase	188	481655	37.8	48.7	0	1	1	2372230	Real Sociedad	Martín Zubimendi	1	0	0	28.8	62.4	0
1	pase_fallado	188	224919	29.1	61.6	0	3	1	2372230	Real Sociedad	Robin Le Normand	0	0	0	74.7	39.8	0
44	duelo_aereo	2893	58877	23.1	58.2	0	6	1	2372230	Girona	Daley Blind	1	0	0	0	0	0
44	duelo_aereo	188	176189	76.9	41.8	0	6	1	2372230	Real Sociedad	Carlos Fernández	0	0	0	0	0	0
1	pase	2893	58877	21.2	62.3	0	7	1	2372230	Girona	Daley Blind	1	0	0	20.9	72.1	0
1	pase	2893	248498	20.2	71.9	0	8	1	2372230	Girona	Miguel Gutiérrez	1	0	0	5.7	69.9	0
52	portero_agarrra_pelota	2893	102884	6.1	69.7	0	10	1	2372230	Girona	Paulo Gazzaniga	0	0	0	0	0	0
1	pase	2893	102884	9	48.8	0	15	1	2372230	Girona	Paulo Gazzaniga	1	0	0	26.6	7.4	0
1	pase	2893	517333	26.2	9.3	0	20	1	2372230	Girona	Arnau Martínez	1	0	0	11.8	24.3	0
3	regate_fallado	2893	11129	14.1	20.2	0	22	1	2372230	Girona	David López	0	0	0	0	0	0
4	falta_recibida	2893	11129	13.2	18	0	24	1	2372230	Girona	David López	1	0	152	0	0	0
4	falta_cometida	188	176189	86.8	82	0	24	1	2372230	Real Sociedad	Carlos Fernández	0	0	152	0	0	0
1	pase	2893	11129	19.3	23.7	0	31	1	2372230	Girona	David López	1	0	0	16.2	62.7	0
1	pase	2893	58877	11.6	57.9	0	34	1	2372230	Girona	Daley Blind	1	0	0	22.2	51.8	0
1	pase	2893	178871	22.2	51.8	0	35	1	2372230	Girona	Aleix García	1	0	0	5.3	50.4	0
50	me_roban_balon	2893	102884	3.8	53.9	0	37	1	2372230	Girona	Paulo Gazzaniga	0	0	0	0	0	0
7	entrada	188	176189	96.2	46.1	0	38	1	2372230	Real Sociedad	Carlos Fernández	1	0	0	0	0	0
5	balon_fuera	188	176189	100	41.5	0	39	1	2372230	Real Sociedad	Carlos Fernández	0	0	346	0	0	0
5	balon_fuera	2893	102884	0	58.5	0	39	1	2372230	Girona	Paulo Gazzaniga	1	0	346	0	0	0
1	pase	2893	102884	2.1	47.9	1	3	1	2372230	Girona	Paulo Gazzaniga	1	0	0	11.6	28.2	0
1	pase	2893	11129	11.6	28.2	1	3	1	2372230	Girona	David López	1	0	0	6.6	40.1	0
1	pase_fallado	2893	102884	9.1	34.7	1	3	1	2372230	Girona	Paulo Gazzaniga	0	0	0	38.6	-1	0
5	balon_fuera	188	176189	58	100	1	6	1	2372230	Real Sociedad	Carlos Fernández	1	0	347	0	0	0
5	balon_fuera	2893	102884	42	0	1	6	1	2372230	Girona	Paulo Gazzaniga	0	0	347	0	0	0
1	pase	188	472145	65.4	100	1	22	1	2372230	Real Sociedad	Aihen Muñoz	1	0	0	68.8	79.1	0
1	pase	188	488026	68.6	77.4	1	23	1	2372230	Real Sociedad	Beñat Turrientes	1	0	0	59	37.5	0
1	pase	188	174528	58.9	32.5	1	27	1	2372230	Real Sociedad	Hamari Traoré	1	0	0	68.8	25.9	0
1	pase	188	178880	68.4	16.3	1	29	1	2372230	Real Sociedad	Brais Méndez	1	0	0	71.7	5.6	0
1	pase	188	219271	69.6	12.4	1	32	1	2372230	Real Sociedad	Takefusa Kubo	1	0	0	71.9	18	0
