team_id	code	type	player	x	y	min	sec	period
181	44	0aerial_duel_lost	58792	68	77.1	0	6	1
181	50	0dispossessed	80906	45.4	43.7	0	53	1
181	8	0interception	170154	37.3	21.5	0	57	1
181	5	0ball_out	80906	56.2	0	1	3	1
407	5	0ball_out	484753	84.6	100	1	56	1
407	8	0interception	213469	63.1	12.6	2	24	1
181	12	0despeje_clearance	500759	18.5	87.4	2	27	1
407	61	0mal_control	213469	44.8	2.3	4	50	1
407	5	0ball_out	213469	35.6	0	4	52	1
407	8	0interception	451565	32.4	8	5	16	1
181	44	0aerial_duel_lost	500759	58.4	96.9	5	23	1
407	61	0mal_control	108438	88.2	16.5	6	32	1
407	74	0blocked_pass	198221	86	4.4	6	35	1
407	5	0ball_out	198221	78.8	0	6	36	1
181	44	0aerial_duel_lost	195923	47.5	40.2	7	9	1
181	50	0dispossessed	156293	61.1	69.5	7	12	1
181	61	0mal_control	58792	58.2	97.2	7	15	1
181	5	0ball_out	58792	65.2	100	7	16	1
181	12	0despeje_clearance	195923	13.5	32.7	8	35	1
181	44	0aerial_duel_lost	156293	43.5	10.2	8	40	1
181	8	0interception	170154	24.8	28.5	10	38	1
407	44	0aerial_duel_lost	198221	66.4	63.5	10	43	1
181	12	0despeje_clearance	500759	7.4	73.2	10	52	1
181	5	0ball_out	500759	5	100	10	54	1
407	61	0mal_control	198221	94.9	6.4	11	11	1
181	12	0despeje_clearance	58792	6.5	90.9	11	12	1
181	5	0ball_out	500759	8.6	100	11	13	1
181	5	0ball_out	195923	43.8	0	12	13	1
181	8	0interception	225463	35	49.9	13	26	1
407	44	0aerial_duel_lost	487703	53.4	66.1	13	33	1
181	5	0ball_out	58792	74	100	13	47	1
407	8	0interception	449718	70.8	20	15	24	1
181	61	0mal_control	225463	28.7	80.5	15	39	1
181	12	0despeje_clearance	195923	15.7	50.3	16	1	1
181	8	0interception	80906	44.5	6.2	18	35	1
181	5	0ball_out	80906	52.9	0	18	37	1
181	5	0ball_out	104407	32.8	100	19	27	1
181	61	0mal_control	225463	63.7	24.4	20	35	1
407	50	0dispossessed	487703	38.4	73	20	36	1
181	14	post	80906	86.2	45.2	20	56	1
407	12	0despeje_clearance	167432	6.2	64.4	20	58	1
407	5	0ball_out	167432	21.5	100	21	0	1
407	12	0despeje_clearance	108438	13.5	37.2	21	35	1
181	13	miss	500759	70.6	59	21	37	1
181	5	0ball_out	500759	92.8	100	21	40	1
181	8	0interception	170116	61.9	96.5	22	6	1
181	12	0despeje_clearance	500759	10	72.8	24	3	1
181	44	0aerial_duel_lost	500759	2.1	72.8	24	41	1
407	16	goal	86398	88.5	50	28	1	1
407	12	0despeje_clearance	451565	7.8	50.2	29	25	1
181	5	0ball_out	195923	37.4	100	29	48	1
407	5	0ball_out	213469	66.2	0	32	3	1
181	61	0mal_control	58792	37.5	98.3	32	16	1
181	5	0ball_out	58792	36.3	100	32	16	1
407	8	0interception	484753	31.5	89.2	32	45	1
407	5	0ball_out	484753	27	100	32	49	1
407	12	0despeje_clearance	451565	9.3	56.2	33	7	1
407	5	0ball_out	451565	42.6	100	33	11	1
407	12	0despeje_clearance	487703	21.4	89.2	33	22	1
407	5	0ball_out	487703	15.6	100	33	24	1
181	44	0aerial_duel_lost	156293	87.3	38.6	33	43	1
407	12	0despeje_clearance	167432	13.4	64.8	33	43	1
407	50	0dispossessed	198221	40.8	7.9	34	30	1
181	50	0dispossessed	80906	90.9	95.2	34	38	1
181	44	0aerial_duel_lost	225463	81.8	88.9	34	41	1
407	50	0dispossessed	108438	54.8	95.6	35	25	1
181	5	0ball_out	195923	56.2	0	35	28	1
181	5	0ball_out	170154	36.8	0	36	38	1
407	61	0mal_control	108438	65.5	82.9	36	53	1
407	5	0ball_out	451565	39.4	0	37	6	1
407	44	0aerial_duel_lost	167432	38.4	82.3	37	25	1
407	44	0aerial_duel_lost	487703	6.5	57.2	37	49	1
181	15	attempt_saved	80906	87.4	46.6	37	50	1
407	44	0aerial_duel_lost	484753	9.1	53.2	37	52	1
181	14	post	156293	88.5	50	40	1	1
181	44	0aerial_duel_lost	156293	90.8	51.6	40	2	1
181	5	0ball_out	227164	43.7	100	41	45	1
407	8	0interception	484753	57.6	21	42	9	1
181	61	0mal_control	80906	53.3	71.1	42	13	1
407	44	0aerial_duel_lost	198221	52.6	77.3	42	35	1
407	61	0mal_control	108438	62.1	96.7	43	9	1
407	5	0ball_out	108438	58.7	100	43	10	1
181	50	0dispossessed	80906	74.2	26.8	43	42	1
181	50	0dispossessed	80906	73.8	27.2	43	43	1
407	15	attempt_saved	449718	74.1	53.8	44	5	1
181	44	0aerial_duel_lost	80906	29.4	29.7	44	8	1
181	74	0blocked_pass	170154	55.5	5.6	45	13	1
181	5	0ball_out	170154	53.8	0	45	14	1
407	5	0ball_out	472194	32.1	0	45	40	1
181	44	0aerial_duel_lost	156293	65.4	74.5	46	4	1
407	74	0blocked_pass	213469	60.7	20.8	46	43	1
181	50	0dispossessed	80906	39.7	68.6	46	48	1
181	50	0dispossessed	80906	40.1	77.4	46	48	1
181	50	0dispossessed	170154	26.9	19.1	47	34	1
407	50	0dispossessed	108438	70.2	76.6	47	49	1
407	44	0aerial_duel_lost	487703	61.6	51	47	53	1
181	44	0aerial_duel_lost	58792	42.2	78	48	52	1
181	44	0aerial_duel_lost	225463	39	27.2	49	35	1
407	74	0blocked_pass	167432	60.4	96.7	49	39	1
407	5	0ball_out	167432	61.1	100	49	39	1
407	44	0aerial_duel_lost	108438	64.9	89.8	51	17	1
181	61	0mal_control	80906	70.2	2.9	51	36	1
181	18	player_off	195923	49.8	49.7	45	0	2
181	18	player_off	195923	49.8	49.7	45	0	2
181	19	player_in	169007	49.8	49.7	45	0	2
181	18	player_off	500759	68.8	0	45	0	2
181	18	player_off	500759	68.8	0	45	0	2
181	19	player_in	105571	68.8	0	45	0	2
181	61	0mal_control	227164	43.6	33.3	45	42	2
181	5	0ball_out	170116	55.2	0	46	31	2
407	61	0mal_control	108438	57.6	96.8	46	50	2
407	12	0despeje_clearance	472194	26	79.4	46	57	2
407	5	0ball_out	472194	30.4	100	47	0	2
407	74	0blocked_pass	198221	36	10.1	47	29	2
407	50	0dispossessed	244363	52.3	3.4	47	53	2
407	8	0interception	167432	33.2	94.3	48	15	2
407	5	0ball_out	167432	33	100	48	16	2
181	61	0mal_control	227164	96.7	86.3	48	46	2
181	5	0ball_out	227164	100	84.8	48	46	2
181	8	0interception	58792	33.3	70	49	21	2
407	15	attempt_saved	108438	72.2	76.7	49	41	2
407	12	0despeje_clearance	484753	7.8	57.3	50	1	2
407	44	0aerial_duel_lost	244363	34.8	40	50	4	2
181	5	0ball_out	80906	65.1	0	50	12	2
407	44	0aerial_duel_lost	108438	61.4	75.8	50	47	2
407	56	0me_cortan_balon_cuerpo	472194	1.9	80.8	50	58	2
181	5	0ball_out	170154	100	21	50	59	2
181	15	attempt_saved	227164	90.7	65.1	51	50	2
407	61	0mal_control	167432	1.6	92.9	51	54	2
407	5	0ball_out	167432	6.4	100	51	56	2
407	12	0despeje_clearance	487703	6.9	65	52	4	2
181	44	0aerial_duel_lost	107594	69.2	10.6	52	11	2
181	8	0interception	225463	34.5	92.4	54	2	2
181	5	0ball_out	225463	36.5	100	54	4	2
181	8	0interception	58792	21.3	90.8	54	16	2
407	44	0aerial_duel_lost	244363	66.2	24.1	54	32	2
407	50	0dispossessed	244363	58.9	3.1	54	36	2
407	5	0ball_out	244363	57.2	0	54	38	2
181	61	0mal_control	170154	73.3	20.9	55	6	2
181	44	0aerial_duel_lost	170154	78.1	19.5	55	7	2
181	44	0aerial_duel_lost	169007	36.6	35.1	56	10	2
407	44	0aerial_duel_lost	213469	36.1	18.6	56	15	2
407	12	0despeje_clearance	487703	14.2	43.1	57	7	2
181	44	0aerial_duel_lost	105571	39.4	80.2	58	8	2
181	8	0interception	170154	23.6	19.8	58	31	2
181	5	0ball_out	58792	100	24.2	58	53	2
181	18	player_off	107594	100	29.1	59	15	2
181	18	player_off	107594	100	29.1	59	15	2
181	19	player_in	485385	100	29.1	59	15	2
181	18	player_off	225463	100	29.1	59	32	2
181	18	player_off	225463	100	29.1	59	32	2
181	19	player_in	185126	100	29.1	59	32	2
407	44	0aerial_duel_lost	86398	46.2	44.6	60	11	2
181	61	0mal_control	227164	81.1	14.3	60	27	2
407	50	0dispossessed	167432	25.5	76.1	60	28	2
181	13	miss	80906	75.1	28	60	29	2
181	5	0ball_out	80906	100	56.5	60	31	2
181	8	0interception	105571	36.4	63.4	61	13	2
407	8	0interception	487703	25.2	46.8	61	36	2
407	12	0despeje_clearance	487703	8.4	61.2	61	56	2
181	44	0aerial_duel_lost	80906	77.2	9.2	62	1	2
181	44	0aerial_duel_lost	170116	51.8	26.4	63	14	2
407	18	player_off	167432	44	71.5	63	50	2
407	18	player_off	167432	44	71.5	63	50	2
407	19	player_in	484693	44	71.5	63	50	2
407	18	player_off	244363	44	71.5	63	52	2
407	18	player_off	244363	44	71.5	63	52	2
407	19	player_in	170864	44	71.5	63	52	2
407	61	0mal_control	484693	75.3	96.8	64	23	2
407	50	0dispossessed	108438	56.2	93.1	64	34	2
407	44	0aerial_duel_lost	487703	45	84	64	39	2
407	8	0interception	487703	23.2	74.2	65	18	2
407	44	0aerial_duel_lost	484693	27.1	74.2	65	19	2
181	5	0ball_out	169007	100	44.4	66	18	2
181	74	0blocked_pass	170116	4.2	24.6	67	10	2
407	15	attempt_saved	484753	76.5	75.3	67	55	2
407	44	0aerial_duel_lost	487703	89	57	67	56	2
181	5	0ball_out	58792	63.3	100	68	4	2
181	44	0aerial_duel_lost	227164	56.6	34.9	68	34	2
407	12	0despeje_clearance	487703	6.2	63.9	68	40	2
407	44	0aerial_duel_lost	487703	8.6	49.5	69	9	2
181	16	goal	105571	91.7	51.8	69	9	2
181	44	0aerial_duel_lost	485385	39.5	30	70	11	2
181	44	0aerial_duel_lost	485385	44.1	95.2	70	52	2
181	74	0blocked_pass	169007	44.4	98.1	71	42	2
181	5	0ball_out	169007	41	100	71	42	2
181	44	0aerial_duel_lost	169007	39.9	82.6	71	54	2
181	44	0aerial_duel_lost	156293	60	18.5	72	11	2
407	5	0ball_out	108438	63	100	72	51	2
181	44	0aerial_duel_lost	80906	59.2	28.9	73	32	2
407	61	0mal_control	108438	57.6	95.4	73	54	2
407	5	0ball_out	108438	63.1	100	73	55	2
407	12	0despeje_clearance	451565	6.7	78.5	74	8	2
181	5	0ball_out	185126	100	26	74	10	2
407	44	0aerial_duel_lost	108438	67.2	71	74	39	2
407	44	0aerial_duel_lost	487703	38	59.6	75	9	2
407	5	0ball_out	484693	65.8	100	75	13	2
181	44	0aerial_duel_lost	185126	65.7	4.5	77	19	2
407	12	0despeje_clearance	487703	31.9	95	77	19	2
407	5	0ball_out	487703	35.6	100	77	21	2
181	44	0aerial_duel_lost	485385	73	36.5	77	51	2
407	13	miss	108438	87.6	62.9	78	20	2
407	5	0ball_out	108438	100	64.3	78	21	2
407	44	0aerial_duel_lost	484753	37	72.6	78	57	2
181	61	0mal_control	185126	59.5	30.4	78	58	2
181	44	0aerial_duel_lost	227164	58.5	28.6	78	59	2
181	44	0aerial_duel_lost	170154	70.4	4.9	80	46	2
181	74	0blocked_pass	80906	78.2	12.4	81	49	2
181	5	0ball_out	80906	72.7	0	81	50	2
181	8	0interception	227164	42.6	8.5	82	9	2
181	8	0interception	80906	54.5	33	82	25	2
181	61	0mal_control	169007	72.4	33	82	34	2
181	44	0aerial_duel_lost	58792	62.7	39.4	82	42	2
407	50	0dispossessed	86398	74.2	40.7	83	8	2
407	44	0aerial_duel_lost	449718	72.6	48.7	83	10	2
407	44	0aerial_duel_lost	198221	32.8	17.6	84	31	2
181	18	player_off	227164	60.6	27.7	84	57	2
